v1,v2,v3,v4,v5,v6
17.33503249,12.22207617,66.38787553,65.49779278,21973.4591,3616.269647
19.14491254,13.07632112,73.31916285,70.0756696,24267.61835,3869.023767
25.89779366,18.43067036,99.18063336,98.7694899,32827.4037,5453.269388
19.1821388,13.72963961,73.46172808,73.57678665,24314.80545,4062.327736
13.64927221,9.291814704,52.2725403,49.79459675,17301.48039,2749.263466
11.17651281,7.32112526,42.80262766,39.23372255,14167.07164,2166.175591
16.71927044,10.80485695,64.0296951,57.90295134,21192.93433,3196.942622
23.58472956,15.94631582,90.3223049,85.45589763,29895.42077,4718.198211
10.68933425,6.958182966,40.93688269,37.2887241,13549.53612,2058.788173
24.67292353,16.79787729,94.48975518,90.01939368,31274.78857,4970.158339
24.83171964,16.60019338,95.09789575,88.96001067,31476.0746,4911.667595
22.11636007,14.82092636,84.6988986,79.42496436,28034.15186,4385.217816
2.47493471,2.201996181,7.712384572,5.552484489,2169.59554,337.31061
13.97874423,13.20942996,43.5605234,33.30848416,12254.14999,2023.47348
19.5690827,18.6189939,60.9811204,46.9490709,17154.79378,2852.13219
18.84622623,17.21934451,58.72855709,43.4197589,16521.118,2637.72828
34.1021825,32.05220766,106.2691251,80.82184127,29894.90703,4909.88577
5.067654453,4.830637083,15.79181053,12.18078292,4442.444665,739.97637
2.637018507,2.563870957,8.217469644,6.464976569,2311.682635,392.74404
16.86023396,16.0467538,52.53981357,40.46299095,14780.14279,2458.10613
19.15404054,17.43148427,59.68776718,43.95468387,16790.95645,2670.2247
3.038812441,2.515475436,9.469538768,6.342943943,2663.9062,385.33062
16.20051357,14.46043597,50.48399476,36.46298167,14201.81383,2215.1076
36.41793147,33.40200603,113.4854554,84.22545049,31924.95599,5116.6533
7.302672023,6.293600918,22.75656599,15.86974663,6401.72227,964.07904
11.88635212,10.00659258,37.040217,25.23230991,10419.90177,1532.85
4.495910586,3.760841367,14.0101439,9.483219604,3941.238335,576.10077
3.622148508,3.11223223,11.28732898,7.847707153,3175.27457,476.74422
9.211451962,7.858813935,28.70470066,19.81653867,8075.011035,1203.84465
4.65778738,3.996815014,14.51458391,10.07824335,4083.143965,612.24816
9.966186987,8.907322899,31.05660381,22.46042598,8736.632425,1364.45946
3.95087018,3.377497902,12.31169053,8.51659275,3463.44099,517.37868
3.244987999,2.573331735,10.11202246,6.488832571,2844.64534,394.19328
0.820355157,0.581473998,2.556388429,1.466226591,719.145795,89.07252
2.993064651,2.583338328,9.326979636,6.514064881,2623.802435,395.72613
5.54438368,4.685632459,17.2773928,11.81514381,4860.35856,717.76398
3.156183466,2.646652768,9.835290027,6.673716588,2766.796855,405.42489
3.199654217,2.662117502,9.970753457,6.712711976,2804.904505,407.79384
1.450267027,1.255918338,4.519318025,3.166884279,1271.34379,192.38661
2.042297244,1.707670508,6.364200919,4.306008379,1790.33369,261.58782
3.827496051,3.174818918,11.92723241,8.005523782,3355.28785,486.3315
3.915886577,3.226671261,12.20267472,8.136273024,3432.773405,494.27445
4.296152139,3.426803113,13.38765719,8.640919222,3766.12461,524.93145
1.445298942,1.083804945,4.503836491,2.732888548,1266.98863,166.02159
0.662618435,0.513974982,2.0648497,1.296023191,580.869465,78.73275
1.334759034,0.972822737,4.159372342,2.453039293,1170.08632,149.02089
1.614213857,1.207886693,5.030208673,3.045769191,1415.06407,185.02893
0.207831587,0.180118666,0.647644205,0.454181578,182.19086,27.5913
0.469898109,0.371335554,1.464295164,0.936348082,411.92555,56.88267
