v1,v2,v3,v4
19538,667,24,1
11726,407,24,5
20862,537,24,2
19124,627,24,1
8327,409,24,2
7371,216,24,2
5613,233,24,5
8100,182,24,0
3408,92,24,0
7038,153,24,0
5394,131,24,0
7953,153,24,0
5072,116,24,0
5168,129,24,0
4974,174,24,0
116773,7801,2,14
14516,650,2,5
9210,545,2,2
18066,724,2,4
8235,426,2,4
8450,604,2,2
8141,387,2,4
6594,317,2,2
11677,560,2,5
5852,260,2,1
8034,357,2,1
3578,114,2,1
3151,97,2,1
3211,111,2,1
3617,110,2,1
5980,250,2,1
103928,8500,6,11
10387,553,6,6
22931,1478,6,6
20233,1044,6,7
89486,5232,6,15
18163,1040,6,9
12608,631,6,3
3930,190,6,1
11721,666,6,4
10230,543,6,4
12968,455,6,4
5660,107,6,0
5022,106,6,0
37889,3092,27,3
42131,2598,27,6
28496,1476,27,3
30758,4626,27,2
41508,1815,27,4
59884,2791,27,6
41302,2044,27,3
203928.4786,16517,30,22
143490.4749,6340,30,10
74158.04645,3115,30,5
123607.594,7034,3,12
150436.406,225,3,25
