v1,v2,v3,v4,v5,v6
2883,2884,22.06,0,7.734,0
509,510,0,0,0.69,0
1438,1439,0,0,0,0
785,786,0,0,0,0
352,353,0,0,0,0
1138,1139,0,0,0,0
668,669,0,0,0,0
971,972,0,0,0,0
345,346,0,0,0,0
660,661,0,0,0,0
7012,7013,202.59,0,0,0
2468,2469,0,0,4.5,0
4481,4482,0,0,2.44,0
2413,2414,0,0,0,0
1257,1258,0,0,4.5,0
2127,2128,0,0,0,0
1034,1035,0,0,0,0
756,757,43,0,0,0
1192,1193,45,0,8.9669,0
576,577,0,0,1.8,0
847,848,0,0,2.6,0
1050,1051,0,0,1.6,0
1789,1790,17203,0,0,87
465,466,0,0,1.98,0
469,470,0,0,2.3,0
580,581,0,0,0,0
888,889,16,0,0,0
564,565,0,0,5.7465,0
641,642,0,0,0,0
727,728,0,0,0,0
1829,1830,59.42,0,0,0
2403,2404,21.52,0,2.5748,0
831,832,0,0,0,0
1359,1360,0,0,1.2665,0
3796,3797,330,0,7.9211,13.8
459,460,0,0,0,0
1253,1254,0,0,4.9,0
775,776,0,0,0,0
604,605,0,0,0,0
495,496,15.65,0,0,0
414,415,86.43,10.45,0,0
2254,2255,0,0,4.995,0
1989,1990,0,0,0,0
1232,1233,0,0,4.193,0
718,719,0,0,0,0
424,425,0,0,0,0
106,107,0,0,0,0
336,337,0,0,0,0
12095,12096,335.8,0,0,0
3499,3500,0,0,0,0
2787,2788,0,0,8.2,0
2812,2813,0,0,13,0
2225,2226,0,0,0,0
1236,1237,0,0,0,0
433,434,0,0,0,0
838,839,0,0,0,0
1132,1133,0,0,0,0
803,804,0,0,0,0
788,789,0,0,0,0
646,647,0,0,0,0
2627,2628,103,0,0,0
499,500,0,0,0,0
319,320,0,0,0,0
1146,1147,278,0,16.6181,0
1244,1245,0,0,0,0
349,350,0,13,0,0
663,664,0,0,0,0
403,404,0,0,3.0375,0
533,534,0,0,0,0
623,624,0,0,0,0
405,406,0,0,0,0
212,213,0,0,0,0
229,230,0,0,0,0
178,179,0,0,0,0
88,89,0,0,0,0
149,150,0,0,0,0
127,128,0,0,0,0
149,150,0,0,0,0
112,113,0,0,0,0
125,126,0,0,0,0
170,171,0,0,0,0
7797,7798,18,0,4.4488,0
646,647,0,0,5,0
541,542,0,0,2.52,0
720,721,0,0,1.005,0
422,423,0,0,1.7,0
600,601,0,0,1.308,0
383,384,0,0,1.6,0
313,314,0,0,1.33,0
556,557,0,0,0,0
256,257,0,0,3.5,0
353,354,0,0,2.3633,0
110,111,0,0,0,0
93,94,0,0,1.416,0
107,108,0,0,0.8521,0
106,107,0,0,0,0
246,247,0,0,0.87,0
8496,8497,136.29,0,3.45,0
549,550,0,0,0,0
1474,1475,0,0,1.64,0
1040,1041,0,0,2.8,0
5228,5229,104.08,0,1.6,0
1036,1037,0,0,1.404,0
627,628,0,0,1.5,0
186,187,0,0,0,0
662,663,0,0,1.5,0
539,540,0,0,1.2,0
451,452,486.82,0,2.1075,27
103,104,0,0,0,0
102,103,0,0,0,0
3088,3089,71.16,0,0,59.7
2594,2595,0,0,0,0
1472,1473,0,0,0,0
4622,4623,0,0,0,0
1811,1812,0,0,0,0
2787,2788,29,0,0,0
2040,2041,0,3.4,0,0
16513,16514,0,0,0,0
6336,6337,0,5.5,0,0
3111,3112,0,0,37,0
7030,7031,0,0,0,0
17,48,0,3.5,0,0
